date,city,cid,industry,platform,number,amount
2016/8/1,臺北市,A,不動產經營及相關服務業,無載具,32294,114100607
2016/8/1,臺北市,A,不動產開發業,無載具,1530691,2081432419
2016/8/1,臺北市,A,人力仲介及供應業,無載具,298,323149
2016/8/1,臺北市,A,企業總管理機構及管理顧問業,無載具,57535,121656544
2016/8/1,臺北市,A,住宿服務業,無載具,51913,385304092
2016/8/1,臺北市,A,保險業,無載具,849,317058556
2016/8/1,臺北市,A,倉儲業,無載具,19506,22944827
2016/8/1,臺北市,A,個人及家庭用品維修業,無載具,11800,97953561
2016/8/1,臺北市,A,傳播及節目播送業,無載具,12735,208155034
2016/8/1,臺北市,A,其他專業、科學及技術服務業,無載具,115,1346004
2016/8/1,臺北市,A,其他社會工作服務業,無載具,3693,911110
2016/8/1,臺北市,A,其他製造業,無載具,860,1109796
2016/8/1,臺北市,A,出版業,無載具,103115,311071425
2016/8/1,臺北市,A,創作及藝術表演業,無載具,1607,5932846
2016/8/1,臺北市,A,化學材料製造業,無載具,1992,2961558
2016/8/1,臺北市,A,化學製品製造業,無載具,36,314319
2016/8/1,臺北市,A,印刷及資料儲存媒體複製業,無載具,1404,1217483
2016/8/1,臺北市,A,土木工程業,無載具,1855,5306339
2016/8/1,臺北市,A,宗教、職業及類似組織,無載具,2107,3513837
2016/8/1,臺北市,A,專門營造業,無載具,21230,23479708
2016/8/1,臺北市,A,專門設計服務業,無載具,1511,8132846
2016/8/1,臺北市,A,廢棄物清除、處理及資源回收業,無載具,178026,62236273
2016/8/1,臺北市,A,廣告業及市場研究業,無載具,3134,41415646
2016/8/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,無載具,1989,18165077
2016/8/1,臺北市,A,建築物及綠化服務業,無載具,386,1558127
2016/8/1,臺北市,A,影片服務、聲音錄製及音樂出版業,無載具,410052,636686190
2016/8/1,臺北市,A,成衣及服飾品製造業,無載具,161,305046
2016/8/1,臺北市,A,批發業,無載具,4142289,5565063958
2016/8/1,臺北市,A,教育服務業,無載具,7536,37094470
2016/8/1,臺北市,A,旅行及相關代訂服務業,無載具,10,30142
2016/8/1,臺北市,A,未分類其他服務業,無載具,14745,102509037
2016/8/1,臺北市,A,業務及辦公室支援服務業,無載具,169,1365431
2016/8/1,臺北市,A,污染整治業,無載具,61531,23479366
2016/8/1,臺北市,A,汽車及其零件製造業,無載具,219,40549166
2016/8/1,臺北市,A,法律及會計服務業,無載具,98,243404
2016/8/1,臺北市,A,產業用機械設備維修及安裝業,無載具,5492,33893437
2016/8/1,臺北市,A,皮革、毛皮及其製品製造業,無載具,3,20400
2016/8/1,臺北市,A,石油及煤製品製造業,無載具,111258,44183144
2016/8/1,臺北市,A,研究發展服務業,無載具,1343,26426319
2016/8/1,臺北市,A,租賃業,無載具,14507,51073612
2016/8/1,臺北市,A,航空運輸業,無載具,9098,104887467
2016/8/1,臺北市,A,藥品及醫用化學製品製造業,無載具,28,12258
2016/8/1,臺北市,A,證券期貨及其他金融業,無載具,140811,130367140
2016/8/1,臺北市,A,資料處理及資訊供應服務業,無載具,780708,1359622827
2016/8/1,臺北市,A,農、牧業,無載具,632,14011148
2016/8/1,臺北市,A,運動、娛樂及休閒服務業,無載具,364310,321133442
2016/8/1,臺北市,A,運輸輔助業,無載具,466481,226127720
2016/8/1,臺北市,A,郵政及快遞業,無載具,10310,4569544
2016/8/1,臺北市,A,醫療保健服務業,無載具,35,81452
2016/8/1,臺北市,A,金融中介業,無載具,1132,104618836
2016/8/1,臺北市,A,陸上運輸業,無載具,243782,28905388
2016/8/1,臺北市,A,零售業,無載具,64927420,19680973217
2016/8/1,臺北市,A,電信業,無載具,225300,2302012551
2016/8/1,臺北市,A,電力及燃氣供應業,無載具,3443,15621092
2016/8/1,臺北市,A,電力設備製造業,無載具,53,90975
2016/8/1,臺北市,A,電子零組件製造業,無載具,292,5272735
2016/8/1,臺北市,A,電腦、電子產品及光學製品製造業,無載具,466,1406143
2016/8/1,臺北市,A,電腦系統設計服務業,無載具,52376,253344291
2016/8/1,臺北市,A,食品製造業,無載具,267973,356313013
2016/8/1,臺北市,A,飲料製造業,無載具,12742,11387377
2016/8/1,臺北市,A,餐飲業,無載具,9855745,5193141219
2016/8/1,臺北市,A,不動產經營及相關服務業,使用載具,5318,6198133
2016/8/1,臺北市,A,不動產開發業,使用載具,4453,7260299
2016/8/1,臺北市,A,企業總管理機構及管理顧問業,使用載具,11672,16060612
2016/8/1,臺北市,A,住宿服務業,使用載具,249,569685
2016/8/1,臺北市,A,保險業,使用載具,3476,3107352
2016/8/1,臺北市,A,倉儲業,使用載具,1,550
2016/8/1,臺北市,A,個人及家庭用品維修業,使用載具,11608,25050284
2016/8/1,臺北市,A,傳播及節目播送業,使用載具,202661,292789678
2016/8/1,臺北市,A,其他製造業,使用載具,1,500
2016/8/1,臺北市,A,出版業,使用載具,11625,15454564
2016/8/1,臺北市,A,創作及藝術表演業,使用載具,1663,6080402
2016/8/1,臺北市,A,化學製品製造業,使用載具,75,57699
2016/8/1,臺北市,A,專門營造業,使用載具,92849,108595647
2016/8/1,臺北市,A,專門設計服務業,使用載具,1513,4778213
2016/8/1,臺北市,A,廢棄物清除、處理及資源回收業,使用載具,649,88925
2016/8/1,臺北市,A,廣告業及市場研究業,使用載具,27339,43929101
2016/8/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,使用載具,2,24106
2016/8/1,臺北市,A,建築物及綠化服務業,使用載具,1256,3294369
2016/8/1,臺北市,A,影片服務、聲音錄製及音樂出版業,使用載具,1518980,2606453896
2016/8/1,臺北市,A,成衣及服飾品製造業,使用載具,1118,1527445
2016/8/1,臺北市,A,批發業,使用載具,543681,518973508
2016/8/1,臺北市,A,教育服務業,使用載具,3479,4450582
2016/8/1,臺北市,A,旅行及相關代訂服務業,使用載具,608,696341
2016/8/1,臺北市,A,未分類其他服務業,使用載具,87180,564413851
2016/8/1,臺北市,A,污染整治業,使用載具,572,160946
2016/8/1,臺北市,A,產業用機械設備維修及安裝業,使用載具,8562,42459107
2016/8/1,臺北市,A,用水供應業,使用載具,894581,605570866
2016/8/1,臺北市,A,石油及煤製品製造業,使用載具,221,67513
2016/8/1,臺北市,A,租賃業,使用載具,180,1904922
2016/8/1,臺北市,A,航空運輸業,使用載具,27,59407
2016/8/1,臺北市,A,藥品及醫用化學製品製造業,使用載具,198,111474
2016/8/1,臺北市,A,證券期貨及其他金融業,使用載具,633831,537354833
2016/8/1,臺北市,A,資料處理及資訊供應服務業,使用載具,3936592,2441866930
2016/8/1,臺北市,A,運動、娛樂及休閒服務業,使用載具,36276,48248623
2016/8/1,臺北市,A,運輸輔助業,使用載具,26875,8552809
2016/8/1,臺北市,A,郵政及快遞業,使用載具,6458,1033710
2016/8/1,臺北市,A,金融中介業,使用載具,1366,13801422
2016/8/1,臺北市,A,陸上運輸業,使用載具,6398,1047794
2016/8/1,臺北市,A,零售業,使用載具,9675319,4693713798
2016/8/1,臺北市,A,電信業,使用載具,15939352,15982550394
2016/8/1,臺北市,A,電力及燃氣供應業,使用載具,688044,6096595655
2016/8/1,臺北市,A,電力設備製造業,使用載具,59,95932
2016/8/1,臺北市,A,電子零組件製造業,使用載具,1537,3097139
2016/8/1,臺北市,A,電腦系統設計服務業,使用載具,61235,150505506
2016/8/1,臺北市,A,食品製造業,使用載具,2834,3210824
2016/8/1,臺北市,A,飲料製造業,使用載具,114,128336
2016/8/1,臺北市,A,餐飲業,使用載具,91236,13818973
2016/7/1,臺北市,A,不動產經營及相關服務業,無載具,34093,83077860
2016/7/1,臺北市,A,不動產開發業,無載具,1622093,2053060923
2016/7/1,臺北市,A,人力仲介及供應業,無載具,377,416884
2016/7/1,臺北市,A,企業總管理機構及管理顧問業,無載具,64717,117051569
2016/7/1,臺北市,A,住宿服務業,無載具,46759,328651576
2016/7/1,臺北市,A,保險業,無載具,828,314854466
2016/7/1,臺北市,A,倉儲業,無載具,17575,22233600
2016/7/1,臺北市,A,個人及家庭用品維修業,無載具,10549,95008702
